,HML,SMB,RMW,CMA,Mrt-Rf,RF
Mar-21,0.045420585,0.029657484,0.01400301,0.002387401,0.021833347,0.000284372
Apr-21,0.033667035,0.03170197,-0.034097633,0.00403886,0.027930449,0.000359357
May-21,0.049664975,-0.009106276,0.01445574,-0.020191575,0.014300416,0.000255487
Jun-21,-0.010358046,0.023996691,0.005484614,-0.000410183,0.033997687,-5.66E-05
Jul-21,-0.016613261,0.000543467,-0.004881192,-0.007677885,-0.023883774,0.00035808
Aug-21,-0.002589997,-0.012448128,0.006586503,-0.01794263,0.000364389,3.56E-05
Sep-21,0.048036621,0.002680158,-0.027454514,0.021938705,-0.038823634,0.000378116
Oct-21,-0.005167096,0.012859768,0.026689441,0.018742649,-0.02875657,0.000117979
Nov-21,-0.05000461,-0.032657733,0.054826123,-0.07670533,-0.04170731,0.000224911
Dec-21,0.019923307,0.025427809,-0.011040872,0.007338957,0.065031928,0.000675294
Jan-22,0.071953127,-0.009580443,0.027120003,0.021261258,-0.114399212,4.29E-05
Feb-22,0.034600068,0.008060989,0.008618806,0.026437448,0.012241001,0.000715109
Mar-22,0.009650001,0.021068418,-0.036387759,-0.009552019,0.030759566,0.000434665
Apr-22,0.055297215,0.02062066,0.035506109,0.030906708,-0.026368087,0.000270473
